CountryName,CountryCode,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,ABCD,2012,2013,2014
Aruba,ABW,,,,,,2.768,,,4.506,15.443,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78
Andorra,AND,,,,,,1.527,3.05,6.886,7.636,10.539,,11.26,13.546,26.838,37.606,48.937,70.87,70.04,78.53,81,81,86.434,94,95.9
Afghanistan,AFG,,,,,,,,,,,0.005,0.005,0.088,0.106,1.224,2.107,1.9,1.84,3.55,4,5,5.455,5.9,6.39
Angola,AGO,,,,,,0.001,0.006,0.018,0.072,0.105,0.136,0.27,0.371,0.465,1.143,1.908,3.2,4.6,6,10,14.776,16.937,19.1,21.26
Albania,ALB,,,,,0.011,0.032,0.049,0.065,0.081,0.114,0.326,0.39,0.972,2.42,6.044,9.61,15.036,23.86,41.2,45,49,54.656,57.2,60.1
Arab World,ARB,,,,,0.017,0.038,0.131,0.262,0.599,1.14,1.561,2.693,3.646,7.007,8.393,11.655,14.206,18.594,21.545,24.536,26.534,29.954,32.342,34.517
United Arab Emirates,ARE,,,,,0.103,0.375,3.296,6.908,14.943,23.625,26.272,28.316,29.478,30.131,40,52,61,63,64,68,78,85,88,90.4
Argentina,ARG,,0.003,0.03,0.044,0.086,0.142,0.28,0.831,3.284,7.039,9.781,10.882,11.914,16.037,17.721,20.927,25.947,28.113,34,45,51,55.8,59.9,64.7
Armenia,ARM,,,,0.009,0.053,0.095,0.112,0.129,0.971,1.3,1.631,1.96,4.575,4.899,5.253,5.632,6.021,6.21,15.3,25,32,37.5,41.9,46.3
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,2.201,2.858,3.481,4.072,5.301,6.482,8.899,12.5,17.229,24.267,27,30,34,38,42,47,52,58,63.4,64
Australia,AUS,1.097,1.769,1.975,2.232,2.76,3.275,16.369,30.813,40.784,46.756,52.689,,,,63,66,69.45,71.67,74.25,76,79.488,79,83,84.56
Austria,AUT,0.259,0.643,0.765,1.393,1.89,6.909,9.534,15.421,23.044,33.73,39.185,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.619,81
